Type,Question
what is the,What is the result of the 1980 NCAA Rifle Championship?
what albums did,What albums did 54-40 release from 1993 to 1997?
who used the,Who used the Jaguar XK120 in the 1951 Scottish Grand Prix?
how did pci,How did PCI perform in the elections in Veneto?
other,Were the Texas Rollergirls beaten between 2009 and 2012?
which two games,Which two games had the lowest attendance in the 2006 Houston Dynamo postseason?
where was betsch,Where was Betsch playing for during 2011-2013?
what were the,What were the vote counts for the two candidates in the 2008 Civic Democratic Party election?
which rooms does,Which rooms does the Esplanade - Theatres on the Bay house?
what percentages of,"What percentages of San Diego's population are white, African American, and Asian?"
what latin grammy,What Latin Grammy's has Tanghetto been nominated for and what years were they nominated?
when was bear,When was Bear Mountain Bridge the longest suspension bridge and which bridge surpassed it?
who took command,"Who took command of the Task Force Phoenix from the 218th BCT, South Carolina Army National Guard in 2008?"
which moons in,Which moons in the solar system are bigger than Earth's Moon?
what events were,"What events were held at the Mayfield Inn Trade and Conference Centre before June 1, 2012?"
what were the,"What were the English and French titles of the nineteenth volume of Asterix, by Goscinny and Uderzo?"
how did the,How did the Japanese perform in the 2013 Four Continents Figure Skating Championships?
how did fukuda,How did Fukuda do compared to Asō in the election?
how many passing,How many passing yards and touchdowns did Tommy Kramer do in the 1981 Minnesota Vikings season?
where and when,Where and when did the Meaning of Life Tour start and end?
who directed and,Who directed and who produced Sri Dharamasthala Mahathme?
what film was,What film was submitted by Brazil to the 59th Academy Awards for Best Foreign Language Film.
in which two states,In which two states were pounds measured the heaviest?
what is held,What is held in 2010 and where is it?
how to compare,How to compare the number of yes and no votes for the measure?
how was the,How was the song Just the Way You Are released in the United States?
what is the,What is the largest power output for any engine?
what were the,What were the dates where the The Early Dynastic period existed?
what is the,What is the match result in 2008 between New Zealand and England?
what tourist locations,What tourist locations are near the 80 km marker of the Circum-Baikal Railway?
what has lakshmy,What has Lakshmy Ramakrishnan appeared in since 2011?
how many floors,How many floors do the three tallest buildings in Long Beach have?
what were the,What were the top two finishing teams?
how many nominations,How many nominations did Yo Contra Ti have at the 2018 Cannes Lions International Festival of Creativity and did it win any awards there?
which doug and,Which Doug and the Slugs singles made it to the Canadian Top 40?
which awards was,Which awards was Paulini nominated for at the 2007 Australia/New Zealand Urban Music Awards?
what was the,What was the end result of New Zealand vs Pakistan during the 1996-7 cricket season?
in what year did,In what year did Galen Rupp perform the best?
what is the,"What is the sum of squared differences from the mean of metabolic rate of northern fulmars, in females?"
which show and,For which show and role did Faizal Khan received the Best Child actor awards?
when did sumner,When did Sumner-Fredericksburg leave the Upper Iowa Conference and what conference did they move to?
how was gianluca,How was Gianluca Vialli's final match performed?
which telugu movies,Which Telugu movies did Richa Gangopadhyay feature in 2012 and 2013?
what was the,What was the outcome of the 1992 election in West Carroll Parish?
what happened to,What happened to the Prime Minister of Australia on 27 June 2013?
who was awarded,"Who was awarded a Golden Scarf by Seattle Sounders FC on June 5, 2010?"
what did michigan,What did Michigan Wolverines football team score in 1895?
what are some,What are some Miami sports teams?
when and through,When and through which label was Famous Graves released in the US and UK?
what is the,What is the first national park in Denmark?
what are the,What are the most extreme exoplanet periods?
what is the,What is the German version of the show?
who scored for,Who scored for Canada in the game?
how many germans,How many Germans were in Poland in 1939?
which of john,Which of John Grazier's works are in the Smithsonian American Art Museum?
what happened to,What happened to the economy of Pakistan from 1995 to 1996?
when was the,When was the Pliocene Epoch?
how did pierre,"How did Pierre Trudeau perform in the 1956 Federal Election, compared to other candidates?"
what are the,What are the hp standards for all 1963 cars?
what does the,What does the ID-1 format specify?
which event did,Which event did Nguyễn Tiến Nhật serve as a flagbearer?
how long were,"How long were the first and last stages of the 1922 Giro d'Italia, and what was the total distance of the competition?"
who succeeded stefan,Who succeeded Stefan Vladislav as King of Serbia and when?
how many records,How many records did Nirvana sell?
how much power,"How much power does Toyota Camry's (XV30) 2,362 cc (144.1 cu in) 2AZ-FE inline-four type has?"
who is overhauled,Who is overhauled by Aquilon on 7 August?
how did dundee,How did Dundee United win over Rangers?
what was the,What was the outcome of the game against Stoke and who did they face next?
how many copies,"How many copies did ""Pleasure"" sell in 1998 alone, and how long was it the best selling album in Japan?"
which players signed,Which players signed with new teams on March 15?
how many votes,How many votes were received by Obama and Clinton in the 2008 Democratic National Convention?
when and which,When and which series did Han Seung-yeon play Baek Se?
what was the,"In the 1907 Tour De France, when did the competition take place, how many stages did the course consist of, and what was the total course distance?"
